district_id	district_name	n_cases
LK-11	Colombo	14447
LK-11-CMC	CMC	2967
LK-12	Gampaha	15082
LK-13	Kalutara	4808
LK-13-NIHS	NIHS	856
LK-21	Kandy	4775
LK-22	Matale	768
LK-23	Nuwaraeliya	483
LK-31	Galle	4109
LK-32	Matara	5124
LK-33	Hambantota	2041
LK-41	Jaffna	779
LK-42	Mannar	78
LK-43	Vavuniya	123
LK-44	Mullaitivu	42
LK-45	Kilinochchi	69
LK-51	Batticaloa	1302
LK-52	Ampara	504
LK-52-Kalmunai	Kalmunai	859
LK-53	Trincomalee	597
LK-61	Kurunegala	1966
LK-62	Puttalam	1442
LK-71	Anuradhapura	628
LK-72	Polonnaruwa	582
LK-81	Badulla	1005
LK-82	Monaragala	921
LK-91	Ratnapura	4104
LK-92	Kegalle	1969
