hospital_name	n_cases_last_week	n_cases_this_week
	0	3031
	0	3031
	0	3031
BH - Balangoda	21	12
BH - Balapitiya	18	13
BH - Beruwala	7	5
BH - Dambadeniya	18	17
BH - Dambulla	6	6
BH - Dickoya	16	7
BH - Gampola	27	20
BH - Kahawatta	22	14
BH - Kamburupitiya	24	21
BH - Karawanella	20	21
BH - Mahiyanganaya	21	16
BH - Marawila	43	29
BH - Mawanella	21	15
BH - Minuwangoda	22	13
BH - Mirigama	9	7
BH - Nikaweratiya	12	8
BH - Panadura	59	39
BH - Puttalam	6	7
BH - Rikillagaskada	7	6
BH - Tangalle	35	24
BH - Thambuththegama	8	4
BH - Tissamaharama	5	4
BH - Warakapola	19	5
BH - Wathupitiwala	22	18
BH – Kalmunai North	10	8
DGH - Ampara	9	8
DGH - Avissawella	33	33
DGH - Chilaw	15	11
DGH - Embilipitiya	30	13
DGH - Gampaha	54	42
DGH - Hambantota	15	11
DGH - Horana	27	22
DGH - Kegalle	23	17
DGH - Matale	15	14
DGH - Matara	109	56
DGH - Monaragala	9	10
DGH - Nawalapitiya	27	17
DGH - Negombo	123	96
DGH - Polonnaruwa	12	9
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	55	44
NH - Galle	77	64
NH - Kandy	90	71
NHSL	99	74
NIID	153	109
PGH - Badulla	33	25
TH - Anuradhapura	24	17
TH - Batticaloa	10	6
TH - Colombo South	131	106
TH - Kalutara	55	50
TH - Kuliyapitiya	25	22
TH - Kurunegala	34	32
TH - Peradeniya	64	44
TH - Ratnapura	58	43
TH – Colombo North	117	76
