district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	218	264	1448	1004	8742	20606
LK-12	Gampaha	154	132	1501	931	5130	18322
LK-13	Kalutara	47	42	444	372	1460	6745
LK-21	Kandy	133	139	525	390	2854	6032
LK-22	Matale	10	15	36	47	719	884
LK-23	Nuwara Eliya	13	8	77	49	181	650
LK-31	Galle	78	44	267	246	1545	4783
LK-32	Matara	57	46	320	208	1137	5846
LK-33	Hambantota	31	15	123	96	633	2342
LK-41	Jaffna	20	15	23	44	773	876
LK-42	Mannar	5	1	1	4	112	90
LK-43	Vavuniya	1	0	8	10	32	146
LK-44	Mullaitivu	0	1	2	6	17	54
LK-45	Kilinochchi	1	0	5	2	53	81
LK-51	Batticaloa	9	6	42	49	1573	1415
LK-52	Ampara	3	0	30	27	113	599
LK-52-Kalmunai	Kalmunai	7	2	38	32	332	949
LK-53	Trincomalee	6	10	8	20	833	641
LK-61	Kurunegala	55	27	199	142	1050	2439
LK-62	Puttalam	29	17	152	119	487	1838
LK-71	Anuradhapura	6	15	64	64	367	828
LK-72	Polonnaruwa	4	4	49	33	240	697
LK-81	Badulla	14	12	148	101	515	1306
LK-82	Monaragala	13	13	66	65	611	1098
LK-91	Ratnapura	108	82	254	159	3821	4705
LK-92	Kegalle	34	32	174	171	986	2411
