district_id	district_name	n_cases
LK-11	Colombo	11163
LK-11-CMC	CMC	2395
LK-12	Gampaha	10662
LK-13	Kalutara	3600
LK-13-NIHS	NIHS	583
LK-21	Kandy	3240
LK-22	Matale	594
LK-23	Nuwaraeliya	277
LK-31	Galle	3178
LK-32	Matara	3921
LK-33	Hambantota	1571
LK-41	Jaffna	657
LK-42	Mannar	54
LK-43	Vavuniya	84
LK-44	Mullaitivu	35
LK-45	Kilinochchi	54
LK-51	Batticaloa	1155
LK-52	Ampara	361
LK-52-Kalmunai	Kalmunai	717
LK-53	Trincomalee	519
LK-61	Kurunegala	1390
LK-62	Puttalam	1010
LK-71	Anuradhapura	445
LK-72	Polonnaruwa	424
LK-81	Badulla	659
LK-82	Monaragala	688
LK-91	Ratnapura	3279
LK-92	Kegalle	1474
