district_id	district_name	n_cases
LK-11	Colombo	9983
LK-11-CMC	CMC	2219
LK-12	Gampaha	8809
LK-13	Kalutara	3177
LK-13-NIHS	NIHS	482
LK-21	Kandy	2701
LK-22	Matale	533
LK-23	Nuwaraeliya	237
LK-31	Galle	2862
LK-32	Matara	3446
LK-33	Hambantota	1382
LK-41	Jaffna	632
LK-42	Mannar	47
LK-43	Vavuniya	80
LK-44	Mullaitivu	33
LK-45	Kilinochchi	50
LK-51	Batticaloa	1105
LK-52	Trincomalee	495
LK-52-Kalmunai	Kalmunai	676
LK-53	Ampara	300
LK-61	Kurunegala	1201
LK-62	Puttalam	854
LK-71	Anuradhapura	351
LK-72	Polonnaruwa	360
LK-81	Badulla	563
LK-82	Monaragala	591
LK-91	Ratnapura	3069
LK-92	Kegalle	1292
