district_id	district_name	n_cases
LK-11	Colombo	12158
LK-11-CMC	CMC	2512
LK-12	Gampaha	11925
LK-13	Kalutara	4006
LK-13-NIHS	NIHS	648
LK-21	Kandy	3670
LK-22	Matale	636
LK-23	Nuwaraeliya	340
LK-31	Galle	3434
LK-32	Matara	4359
LK-33	Hambantota	1714
LK-41	Jaffna	701
LK-42	Mannar	62
LK-43	Vavuniya	94
LK-44	Mullaitivu	35
LK-45	Kilinochchi	56
LK-51	Batticaloa	1210
LK-52	Ampara	412
LK-52-Kalmunai	Kalmunai	778
LK-53	Trincomalee	555
LK-61	Kurunegala	1556
LK-62	Puttalam	1106
LK-71	Anuradhapura	506
LK-72	Polonnaruwa	473
LK-81	Badulla	764
LK-82	Monaragala	756
LK-91	Ratnapura	3557
LK-92	Kegalle	1615
