district_id	district_name	n_cases
LK-11	Colombo	14004
LK-11-CMC	CMC	2854
LK-12	Gampaha	14464
LK-13	Kalutara	4659
LK-13-NIHS	NIHS	814
LK-21	Kandy	4570
LK-22	Matale	733
LK-23	Nuwaraeliya	458
LK-31	Galle	4007
LK-32	Matara	4977
LK-33	Hambantota	1971
LK-41	Jaffna	769
LK-42	Mannar	78
LK-43	Vavuniya	120
LK-44	Mullaitivu	40
LK-45	Kilinochchi	68
LK-51	Batticaloa	1285
LK-52	Ampara	488
LK-52-Kalmunai	Kalmunai	846
LK-53	Trincomalee	596
LK-61	Kurunegala	1875
LK-62	Puttalam	1375
LK-71	Anuradhapura	601
LK-72	Polonnaruwa	572
LK-81	Badulla	968
LK-82	Monaragala	881
LK-91	Ratnapura	3998
LK-92	Kegalle	1880
