Cases reported MOH Area Week 25 Week 26		
		
EASTERN PROVINCE		
Ampara District		
Ampara 6 15		
Uhana 4 11		
Batticaloa District		
Batticaloa 14 18		
NORTH CENTRAL PROVINCE		
Anuradhapura District		
Thambuttegama 3 12		
Polonnaruwa District		
Hingurakoda 7 15		
Thamankaduwa 12 14		
NORTH WESTERN PROVINCE		
Kurunegala District		
Alawwa	5	11
Kuliyapitiya	22	19
Kurunegala	3	11
Mallawapitiya	3	10
Narammala	0	13
Pannala	15	34
Udubaddawa	7	11
Puttalam District		
Anamaduwa	6	12
Chilaw	15	20
Dankotuwa	10	19
Madampe	13	11
Mundel	2	10
Nattandiya	14	16
Puttalam	7	11
Wennappuwa	32	57
UVA PROVINCE		
Badulla District		
Badulla	23	30
Hali Ela	8	10
Passara	2	10
Monaragala District		
Bibile	11	10
Siyambalanduwa	13	14
Wellawaya	16	13
