MOH Area	Cases reported	
	Week 25	Week 26
Katuwana	27	10
Tangalle	45	51
Tissamaharama	12	12
CENTRAL PROVINCE		
Kandy District		
Akurana	2	10
Bambaradeniya	8	10
Doluwa	8	14
Galagedara	5	10
Gampola	24	37
		
Gangawata Korale	47	27
Kandy MC	82	76
Kundasale	11	23
Kurunduwaththa	8	13
Menikhinna	29	24
Pasbage	18	31
Poojapitiya	20	12
Thalathuoya	8	16
Udunuwara	24	32
Waththegama	27	18
Werellagama	37	26
Yatinuwara	48	81
Matale District		
Rattota 8 11		
Nuwara Eliya District		
Rikillagaskada 12 15		
SABARAGAMUWA PROVINCE		
Ratnapura District		
Eheliyagoda	8	13
Godakawela	2	25
Kahawatta	8	18
Kalawana	7	20
Kuruvita	10	15
Nivithigala	11	13
Pelmadulla	21	22
Rathnapura MC	14	10
Ratnapura PS	17	16
Kegalle District		
Bulathkohupitiya	8	14
Dehiovita	21	30
Deraniyagala	7	15
Mawanella	25	48
Ruwanwella	9	10
Warakapola	17	27
Yatiyanthota	11	17
