Cases reported MOH Area Week 25 Week 26		
		
WESTERN PROVINCE		
Colombo District		
Battaramulla	54	60
Boralesgamuwa	58	55
Dehiwala	67	49
Egodauyana	33	28
Gothatuwa	84	115
Hanwella	69	46
Homagama	80	87
Kaduwela	120	152
		
Kahathuduwa	35	34
Kesbewa	24	17
Maharagama	194	161
Moratuwa	51	26
Nugegoda	50	47
Padukka	37	21
Piliyandala	85	77
Pitakotte	27	22
Rathmalana	22	20
CMC		
D1-CMC	22	24
D2A-CMC	25	21
D2B-CMC	29	15
D3-CMC	37	34
D4-CMC	39	41
D5-CMC	33	11
Gampaha District		
Aththanagalla	44	59
Biyagama	250	255
Divulapitiya	16	45
Gampaha	45	57
Ja-Ela	111	155
Katana	44	83
Kelaniya	196	217
Mahara	111	149
Meerigama	31	29
Minuwangoda	66	89
Negombo	55	173
Pugoda(Dompe)	39	75
Ragama	32	65
Seeduwa	103	156
Wattala	113	142
