Cases reported MOH Area Week 25 Week 26		
		
Kalutara District		
Bandaragama	71	48
Bulathsinhala	17	10
Dodangoda PS	12	10
Horana	50	62
Ingiriya	34	24
Madurawala	16	22
Millaniya	16	15
Panadura	129	99
Wadduwa	18	40
		
Walallawita	9	15
NIHS		
Kalutara 37 45		
Payagala 21 46		
SOUTHERN PROVINCE		
Matara District		
Akuressa	25	31
Athuraliya	12	11
Devinuwara	14	14
Dickwella	18	28
Hakmana	11	11
Kamburupitiya	13	10
Malimbada	17	15
Matara MC	147	120
Matara PS	24	21
Morawaka	16	24
Weligama	42	36
Welipitiya	16	14
Galle District		
Ambalangoda	3	11
Baddegama	15	10
Balapitiya	13	19
Bope Poddala	11	12
Elpitiya	15	18
Habaraduwa	22	12
Hikkaduwa	7	14
Imaduwa	18	17
Karandeniya	9	19
MC-Galle	46	38
Thawalama	17	13
Udugama	9	17
Hambantota District		
Ambalantota	23	14
Angunukolapelassa	14	11
Beliatta	13	16
