District/ RDHS	No. of cases					
	2025		2026		Up to Week 26	
					2025	2026
	Week  25	Week 26	Week  25	Week 26		
Colombo	259	329	1292*	1174	7483	12993
Gampaha	183	193	1256*	1750	4329	10260
Kalutara	58	74	452	463	1197	4025
Kandy	189	172	438*	486	2130	3105
Matale	12	16	49*	42	649	551
Nuwara Eliya	14	6	50	50	117	273
Galle	85	61	250	247	1278	3042
Hambantota	28	26	185*	144	490	1512
Matara	51	45	379	364	952	3736
Jaffna	33	6	23	26	655	625
Kilinochchi	1	1	3	5	48	52
Mannar	6	Nil	Nil	7	102	50
Vavuniya	1	Nil	5	4	28	84
Mullaitivu	3	1	Nil	1	14	34
Batticaloa	27	18	45*	46	1513	1141
Ampara	2	5	27*	55	89	347
Trincomalee	15	6	22	24	788	503
Kalmunai*	8	7	29*	43	293	696
Kurunegala	65	41	94*	184	806	1346
Puttalam	18	4	113*	171	407	978
Anuradhapura	17	17	51	95	301	436
Polonnaruwa	8	9	43	58	204	412
Badulla	28	14	56	97	424	640
Monaragala	40	13	88*	88	524	660
Ratnapura	110	107	157*	193	3351	3197
Kegalle	44	38	131	192	829	1454
Total*		1305  1209  5238*			6009  29001  52152	
