district_id	district_name	n_cases
LK-11	Colombo	15748
LK-11-CMC	CMC	3184
LK-12	Gampaha	16676
LK-13	Kalutara	5190
LK-13-NIHS	NIHS	955
LK-21	Kandy	5318
LK-22	Matale	815
LK-23	Nuwaraeliya	566
LK-31	Galle	4391
LK-32	Matara	5495
LK-33	Hambantota	2155
LK-41	Jaffna	821
LK-42	Mannar	85
LK-43	Vavuniya	134
LK-44	Mullaitivu	48
LK-45	Kilinochchi	76
LK-51	Batticaloa	1343
LK-52	Ampara	560
LK-52-Kalmunai	Kalmunai	897
LK-53	Trincomalee	615
LK-61	Kurunegala	2171
LK-62	Puttalam	1644
LK-71	Anuradhapura	768
LK-72	Polonnaruwa	636
LK-81	Badulla	1145
LK-82	Monaragala	981
LK-91	Ratnapura	4444
LK-92	Kegalle	2155
