district_id	district_name	n_cases
LK-11	Colombo	18794
LK-11-CMC	CMC	3807
LK-12	Gampaha	20207
LK-13	Kalutara	6111
LK-13-NIHS	NIHS	1248
LK-21	Kandy	6913
LK-22	Matale	983
LK-23	Nuwaraeliya	728
LK-31	Galle	5192
LK-32	Matara	6117
LK-33	Hambantota	2514
LK-41	Jaffna	947
LK-42	Mannar	94
LK-43	Vavuniya	165
LK-44	Mullaitivu	75
LK-45	Kilinochchi	91
LK-51	Batticaloa	1515
LK-52	Ampara	661
LK-52-Kalmunai	Kalmunai	1087
LK-53	Trincomalee	677
LK-61	Kurunegala	2676
LK-62	Puttalam	2057
LK-71	Anuradhapura	941
LK-72	Polonnaruwa	747
LK-81	Badulla	1485
LK-82	Monaragala	1184
LK-91	Ratnapura	5038
LK-92	Kegalle	2751
