Province	No of Cases	%
Western	26803	52.50%
Southern	8036	15.74%
Sabaragamuwa	4608	9.03%
Central	3734	7.31%
Eastern	2689	5.27%
North Western	2236	4.38%
Uva	1271	2.49%
Northern	862	1.69%
North Central	810	1.59%
