District/ Unit	No of Cases	%
Colombo	10695	20.95%
Gampaha	9830	19.26%
Matara	3584	7.02%
Kalutara	3415	6.69%
Ratnapura	3198	6.26%
Galle	2939	5.76%
Kandy	2931	5.74%
CMC	2315	4.53%
Hambantota	1513	2.96%
Kegalle	1410	2.76%
Kurunegala	1281	2.51%
Batticaloa	1129	2.21%
Puttalam	955	1.87%
Kalmunai	701	1.37%
