district_id	district_name	moh_area_name	n_cases_last_week	n_cases_this_week
LK-11	Colombo	Battaramulla	30	54
LK-11	Colombo	Boralesgamuwa	31	55
LK-11	Colombo	CMC	0	0
LK-11	Colombo	D1-CMC	9	20
LK-11	Colombo	D2A-CMC	7	15
LK-11	Colombo	D2B-CMC	13	11
LK-11	Colombo	D3-CMC	22	45
LK-11	Colombo	D4-CMC	23	35
LK-11	Colombo	D5-CMC	9	24
LK-11	Colombo	Dehiwala	25	55
LK-11	Colombo	Egodauyana	23	34
LK-11	Colombo	Gothatuwa	47	86
LK-11	Colombo	Hanwella	40	33
LK-11	Colombo	Homagama	41	99
LK-11	Colombo	Kaduwela	80	109
LK-11	Colombo	Kahathuduwa	19	35
LK-11	Colombo	Kesbewa	28	19
LK-11	Colombo	Kolonnawa	5	12
LK-11	Colombo	Maharagama	121	189
LK-11	Colombo	Moratuwa	32	48
LK-11	Colombo	Nugegoda	31	66
LK-11	Colombo	Padukka	36	28
LK-11	Colombo	Piliyandala	20	66
LK-11	Colombo	Pitakotte	12	20
LK-11	Colombo	Rathmalana	24	50
LK-12	Gampaha	Aththanagalla	23	33
LK-12	Gampaha	Biyagama	132	233
LK-12	Gampaha	Divulapitiya	11	20
LK-12	Gampaha	Gampaha	27	34
LK-12	Gampaha	Ja-Ela	52	80
LK-12	Gampaha	Katana	25	49
LK-12	Gampaha	Kelaniya	84	119
LK-12	Gampaha	Mahara	62	108
LK-12	Gampaha	Meerigama	16	31
LK-12	Gampaha	Minuwangoda	47	44
LK-12	Gampaha	Negombo	19	56
LK-12	Gampaha	Pugoda(Dompe)	26	39
LK-12	Gampaha	Ragama	22	23
LK-12	Gampaha	Seeduwa	56	96
LK-12	Gampaha	Wattala	46	75
LK-13	Kalutara	Bandaragama	54	75
LK-13	Kalutara	Bulathsinhala	13	12
LK-13	Kalutara	Horana	34	48
LK-13	Kalutara	Ingiriya	30	12
LK-13	Kalutara	Kalutara	29	28
LK-13	Kalutara	Madurawala	16	25
LK-13	Kalutara	Mathugama	6	15
LK-13	Kalutara	Millaniya	14	11
LK-13	Kalutara	NIHS	0	0
LK-13	Kalutara	Panadura	45	113
LK-13	Kalutara	Payagala	24	21
LK-13	Kalutara	Wadduwa	24	32
LK-21	Kandy	Gampola	17	39
LK-21	Kandy	Gangawata Korale	23	39
LK-21	Kandy	Kandy MC	52	71
LK-21	Kandy	Kurunduwaththa	5	10
LK-21	Kandy	Menikhinna	13	14
LK-21	Kandy	Pasbage	21	15
LK-21	Kandy	Thalathuoya	6	11
LK-21	Kandy	Udunuwara	19	26
LK-21	Kandy	Waththegama	11	23
LK-21	Kandy	Werellagama	16	21
LK-21	Kandy	Yatinuwara	42	45
LK-31	Galle	Baddegama	6	17
LK-31	Galle	Bope Poddala	41	72
LK-31	Galle	Elpitiya	8	12
LK-31	Galle	Habaraduwa	4	12
LK-31	Galle	Hikkaduwa	3	11
LK-31	Galle	Imaduwa	4	10
LK-31	Galle	Karandeniya	8	13
LK-31	Galle	MC-Galle	10	40
LK-31	Galle	Thawalama	5	17
LK-32	Matara	Akuressa	12	39
LK-32	Matara	Athuraliya	13	19
LK-32	Matara	Deniyaya	9	13
LK-32	Matara	Devinuwara	16	25
LK-32	Matara	Dickwella	8	14
LK-32	Matara	Kamburupitiya	2	23
LK-32	Matara	Malimbada	6	15
LK-32	Matara	Matara MC	85	157
LK-32	Matara	Matara PS	14	11
LK-32	Matara	Morawaka	7	22
LK-32	Matara	Mulatiyana	6	13
LK-32	Matara	Pasgoda	2	12
LK-32	Matara	Weligama	26	69
LK-32	Matara	Welipitiya	4	14
LK-33	Hambantota	Ambalantota	9	10
LK-33	Hambantota	Beliatta	8	12
LK-33	Hambantota	Katuwana	13	15
LK-33	Hambantota	Tangalle	22	24
LK-33	Hambantota	Walasmulla	9	16
LK-51	Batticaloa	Batticaloa	24	14
LK-61	Kurunegala	Kuliyapitiya	2	14
LK-61	Kurunegala	Mallawapitiya	10	13
LK-62	Puttalam	Chilaw	9	31
LK-62	Puttalam	Madampe	5	10
LK-62	Puttalam	Wennappuwa	18	13
LK-72	Polonnaruwa	Thamankaduwa	7	12
LK-81	Badulla	Badulla	11	26
LK-91	Ratnapura	Ayagama	11	15
LK-91	Ratnapura	Eheliyagoda	11	14
LK-91	Ratnapura	Embilipitiya	28	18
LK-91	Ratnapura	Kahawatta	12	10
LK-91	Ratnapura	Kalawana	8	20
LK-91	Ratnapura	Kuruvita	25	20
LK-91	Ratnapura	Nivithigala	21	26
LK-91	Ratnapura	Pelmadulla	32	25
LK-91	Ratnapura	Rathnapura MC	21	25
LK-91	Ratnapura	Ratnapura PS	30	15
LK-92	Kegalle	Dehiovita	29	18
LK-92	Kegalle	Mawanella	14	14
LK-92	Kegalle	Ruwanwella	8	14
LK-92	Kegalle	Warakapola	14	10
LK-92	Kegalle	Yatiyanthota	9	14
