hospital_name	n_cases_last_week	n_cases_this_week
BH - Balangoda	10	15
BH - Balapitiya	7	9
BH - Dambulla	2	4
BH - Gampola	8	15
BH - Kahawatta	16	14
BH - Kamburupitiya	18	24
BH - Mawanella	7	5
BH - Minuwangoda	10	13
BH - Mirigama	3	4
BH - Panadura	27	48
BH - Tangalle	22	32
BH - Warakapola	7	10
BH - Wathupitiwala	12	12
DGH - Ampara	5	9
DGH - Chilaw	6	18
DGH - Embilipitiya	7	12
DGH - Gampaha	28	37
DGH - Horana	38	40
DGH - Kegalle	7	7
DGH - Matale	6	5
DGH - Moneragala	3	5
DGH - Nawalapitiya	10	13
DGH - Negombo	50	106
DGH - Polonnaruwa	7	13
DGH Hambantota	8	11
DGH-Avissawella	27	32
LRH	34	43
NH - Galle	48	65
NH - Kandy	40	61
NHSL	60	93
NIID	133	155
PGH - Badulla	15	22
TH - Batticaloa	10	8
TH - Colombo North	68	84
TH - Colombo South	70	104
TH - Kalutara	22	43
TH - Kuliyapitiya	7	20
TH - Kurunegala	30	40
TH - Peradeniya	42	54
TH - Ratnapura	51	122
TH-Matara	133	166
