District/ Unit	No of Cases	%
NIHS	1251	1.32%
Monaragala	1187	1.25%
Kalmunai	1101	1.16%
Matale	984	1.04%
Jaffna	953	1.00%
Anuradhapura	942	0.99%
Polonnaruwa	748	0.79%
Nuwaraeliya	732	0.77%
Trincomalee	678	0.71%
Ampara	662	0.70%
Vavuniya	165	0.17%
Mannar	94	0.10%
Kilinochchi	91	0.10%
Mullaitivu	75	0.08%
