Province	No of Cases	%
Western	50287	52.91%
Southern	13843	14.57%
Central	8647	9.10%
Sabaragamuwa	7808	8.22%
North Western	4744	4.99%
Eastern	3960	4.17%
Uva	2678	2.82%
North Central	1690	1.78%
Northern	1378	1.45%
