District/ Unit	No of Cases	%
Gampaha	20248	21.31%
Colombo	18842	19.83%
Kandy	6931	7.29%
Matara	6125	6.44%
Kalutara	6122	6.44%
Galle	5201	5.47%
Ratnapura	5047	5.31%
CMC	3824	4.02%
Kegalle	2761	2.91%
Kurunegala	2682	2.82%
Hambantota	2517	2.65%
Puttalam	2062	2.17%
Batticaloa	1519	1.60%
Badulla	1491	1.57%
