district_id	district_name	n_cases
LK-11	Colombo	18050
LK-11-CMC	CMC	3636
LK-12	Gampaha	19291
LK-13	Kalutara	5889
LK-13-NIHS	NIHS	1167
LK-21	Kandy	6456
LK-22	Matale	935
LK-23	Nuwaraeliya	684
LK-31	Galle	4989
LK-32	Matara	5999
LK-33	Hambantota	2429
LK-41	Jaffna	923
LK-42	Mannar	92
LK-43	Vavuniya	156
LK-44	Mullaitivu	71
LK-45	Kilinochchi	83
LK-51	Batticaloa	1456
LK-52	Ampara	619
LK-52-Kalmunai	Kalmunai	1007
LK-53	Trincomalee	664
LK-61	Kurunegala	2559
LK-62	Puttalam	1970
LK-71	Anuradhapura	870
LK-72	Polonnaruwa	715
LK-81	Badulla	1395
LK-82	Monaragala	1132
LK-91	Ratnapura	4899
LK-92	Kegalle	2559
