District/ Unit	No of Cases	%
NIHS	1198	1.30%
Monaragala	1144	1.24%
Kalmunai	1039	1.13%
Matale	956	1.04%
Jaffna	925	1.01%
Anuradhapura	894	0.97%
Polonnaruwa	725	0.79%
Nuwaraeliya	705	0.77%
Trincomalee	666	0.72%
Ampara	625	0.68%
Vavuniya	161	0.17%
Mannar	92	0.10%
Kilinochchi	90	0.10%
Mullaitivu	73	0.08%
