District/ Unit	No of Cases	%
Gampaha	19631	21.34%
Colombo	18245	19.83%
Kandy	6613	7.19%
Matara	6036	6.56%
Kalutara	5951	6.47%
Galle	5039	5.48%
Ratnapura	4935	5.36%
CMC	3700	4.02%
Kegalle	2623	2.85%
Kurunegala	2594	2.82%
Hambantota	2458	2.67%
Puttalam	1992	2.16%
Batticaloa	1477	1.61%
Badulla	1424	1.55%
