Province	No of Cases	%
Western	48725	52.96%
Southern	13533	14.71%
Central	8274	8.99%
Sabaragamuwa	7558	8.21%
North Western	4586	4.98%
Eastern	3807	4.14%
Uva	2568	2.79%
North Central	1619	1.76%
Northern	1341	1.46%
