District/ Unit	No of Cases	%
Gampaha	20969	21.20%
Colombo	19471	19.69%
Kandy	7460	7.54%
Kalutara	6303	6.37%
Matara	6243	6.31%
Galle	5395	5.45%
Ratnapura	5195	5.25%
CMC	3950	3.99%
Kegalle	2976	3.01%
Kurunegala	2780	2.81%
Hambantota	2616	2.64%
Puttalam	2163	2.19%
Batticaloa	1579	1.60%
Badulla	1571	1.59%
