District/ Unit	No of Cases	%
Gampaha	14112	20.55%
Colombo	13791	20.08%
Matara	4885	7.11%
Kalutara	4600	6.70%
Kandy	4457	6.49%
Ratnapura	3964	5.77%
Galle	3946	5.75%
CMC	2824	4.11%
Hambantota	1934	2.82%
Kegalle	1843	2.68%
Kurunegala	1833	2.67%
Puttalam	1341	1.95%
Batticaloa	1281	1.87%
Badulla	950	1.38%
