District/ Unit	No of Cases	%
Monaragala	867	1.26%
Kalmunai	828	1.21%
NIHS	791	1.15%
Jaffna	756	1.10%
Matale	722	1.05%
Anuradhapura	601	0.88%
Trincomalee	585	0.85%
Polonnaruwa	567	0.83%
Ampara	470	0.68%
Nuwaraeliya	429	0.62%
Vavuniya	117	0.17%
Mannar	71	0.10%
Kilinochchi	67	0.10%
Mullaitivu	40	0.06%
