Province	No of Cases	%
Western	36118	52.59%
Southern	10765	15.68%
Sabaragamuwa	5807	8.46%
Central	5608	8.17%
Eastern	3164	4.61%
North Western	3174	4.62%
Uva	1817	2.65%
North Central	1168	1.70%
Northern	1051	1.53%
