Province	No of Cases	%
Western	52110	52.56%
Southern	14283	14.41%
Central	9321	9.40%
Sabaragamuwa	8191	8.26%
North Western	4955	5.00%
Eastern	4199	4.24%
Uva	2811	2.84%
North Central	1803	1.82%
Northern	1468	1.48%
