District/ Unit	No of Cases	%
Gampaha	21028	21.21%
Colombo	19492	19.66%
Kandy	7484	7.55%
Kalutara	6314	6.37%
Matara	6252	6.31%
Galle	5412	5.46%
Ratnapura	5205	5.25%
CMC	3962	4.00%
Kegalle	2986	3.01%
Kurunegala	2787	2.81%
Hambantota	2619	2.64%
Puttalam	2168	2.19%
Batticaloa	1580	1.59%
Badulla	1575	1.59%
