district_id	district_name	n_cases
LK-11	Colombo	15540
LK-11-CMC	CMC	3135
LK-12	Gampaha	16478
LK-13	Kalutara	5135
LK-13-NIHS	NIHS	948
LK-21	Kandy	5228
LK-22	Matale	813
LK-23	Nuwaraeliya	562
LK-31	Galle	4348
LK-32	Matara	5454
LK-33	Hambantota	2148
LK-41	Jaffna	818
LK-42	Mannar	85
LK-43	Vavuniya	131
LK-44	Mullaitivu	48
LK-45	Kilinochchi	75
LK-51	Batticaloa	1338
LK-52	Ampara	551
LK-52-Kalmunai	Kalmunai	893
LK-53	Trincomalee	615
LK-61	Kurunegala	2151
LK-62	Puttalam	1630
LK-71	Anuradhapura	751
LK-72	Polonnaruwa	627
LK-81	Badulla	1104
LK-82	Monaragala	979
LK-91	Ratnapura	4419
LK-92	Kegalle	2121
