District/ Unit	No of Cases	%
Gampaha	16478	21.09%
Colombo	15540	19.89%
Matara	5454	6.98%
Kandy	5228	6.69%
Kalutara	5135	6.57%
Ratnapura	4419	5.66%
Galle	4348	5.57%
CMC	3135	4.01%
Kurunegala	2151	2.75%
Hambantota	2148	2.75%
Kegalle	2121	2.71%
Puttalam	1630	2.09%
Batticaloa	1338	1.71%
Badulla	1104	1.41%
