Province	No of Cases	%
Western	41236	52.78%
Southern	11950	15.30%
Central	6603	8.45%
Sabaragamuwa	6540	8.37%
North Western	3781	4.84%
Eastern	3397	4.35%
Uva	2083	2.67%
North Central	1378	1.76%
Northern	1157	1.48%
