MOH Area	Cases reported	
	Week 24	Week 25
Kiriella	8	13
Kuruvita	19	10
Nivithigala	24	11
Pelmadulla	26	21
Rathnapura MC	24	14
Ratnapura PS	16	17
Kegalle District		
Aranayake	6	13
Dehiovita	18	18
Mawanella	15	25
Rambukkana	3	13
Warakapola	10	17
Yatiyanthota	14	11
EASTERN PROVINCE		
Batticaloa District		
Batticaloa 14 14		
NORTH CENTRAL PROVINCE		
Polonnaruwa District		
Thamankaduwa 12 12		
NORTH WESTERN PROVINCE		
Kurunegala District		
Kuliyapitiya 14 22		
Pannala 7 15		
Puttalam District		
Chilaw	31	15
Dankotuwa	4	10
Madampe	10	13
Nattandiya	6	13
Wennappuwa	13	53
UVA PROVINCE		
Badulla District		
Badulla 24 23		
Monaragala District		
Bibile	4	11
Siyambalanduwa	7	13
Wellawaya	2	16
