District/ RDHS	No. of cases					
	2025		2026		Up to Week 25	
					2025	2026
	Week  24	Week 25	Week  24	Week 25		
Colombo	292	259	1201*	1296	7154	12129
Gampaha	212	183	1040*	1257	4136	8697
Kalutara	64	58	425*	452	1123	3622
Kandy	151	189	374*	440	1958	2678
Matale	11	12	28*	48	633	532
Nuwara Eliya	13	14	24*	50	111	227
Galle	43	85	276*	250	1217	2849
Hambantota	18	28	104*	184	464	1386
Matara	43	51	466*	379	907	3436
Jaffna	91	33	24	23	649	628
Kilinochchi	3	1	Nil	3	47	50
Mannar	Nil	6	4	Nil	102	47
Vavuniya	2	1	5	5	28	80
Mullaitivu	1	3	3	Nil	13	33
Batticaloa	45	27	49	46	1495	1102
Ampara	4	2	31*	24	84	300
Trincomalee	17	15	26	22	782	492
Kalmunai*	5	8	18*	31	286	671
Kurunegala	64	65	136*	95	765	1190
Puttalam	8	18	84*	133	403	842
Anuradhapura	7	17	24	51	284	349
Polonnaruwa	15	8	39	43	195	358
Badulla	20	28	54*	56	410	551
Monaragala	22	40	33*	89	511	592
Ratnapura	136	110	245*	159	3244	3059
Kegalle	47	44	106	131	791	1277
Total*	1334		1305  4819*		5267  27792  47177	
