MOH Area	Cases reported	
	Week 24	Week 25
Baddegama	18	13
Balapitiya	9	13
Bope Poddala	71	13
Elpitiya	12	15
Habaraduwa	12	22
Imaduwa	9	18
MC-Galle	41	46
Neluwa	9	11
Thawalama	17	17
Yakkalamulla	8	20
Hambantota District		
Ambalantota	10	23
Angunukolapelassa	8	14
Beliatta	12	13
Hambantota	4	14
Katuwana	15	27
Auriyawewa	3	11
Tangalle	24	45
Tissamaharama	2	12
Walasmulla	16	12
Weeraketiya	2	11
CENTRAL PROVINCE		
Kandy District		
Gampola	39	26
Gangawata Korale	40	49
Hatharaliyadda	8	10
Kandy MC	70	83
Kundasale	5	11
Menikhinna	15	25
Pasbage	14	18
Poojapitiya	6	19
Udunuwara	26	25
Waththegama	21	28
Werellagama	21	35
Yatinuwara	45	49
Nuwara Eliya District		
Ambagamuwa 7 14		
Rikillagaskada 3 12		
SABARAGAMUWA PROVINCE		
Ratnapura District		
		
