Deaths reported in 2026 [Districts/Admin area]					
District/area	No	District/area	No	District/area	No
Colombo	9	Gampaha	6	NIHS Kalutara	1
Hambantota	2	Galle	2	Kandy	2
Ratnapura	2	Kalutara	1	Trincomalee	1
Matara	1	Puttalam	1		
