district_id	district_name	n_cases
LK-11	Colombo	19104
LK-11-CMC	CMC	3872
LK-12	Gampaha	20564
LK-13	Kalutara	6207
LK-13-NIHS	NIHS	1276
LK-21	Kandy	7137
LK-22	Matale	998
LK-23	Nuwaraeliya	758
LK-31	Galle	5266
LK-32	Matara	6177
LK-33	Hambantota	2557
LK-41	Jaffna	978
LK-42	Mannar	95
LK-43	Vavuniya	165
LK-44	Mullaitivu	75
LK-45	Kilinochchi	91
LK-51	Batticaloa	1544
LK-52	Ampara	685
LK-52-Kalmunai	Kalmunai	1145
LK-53	Trincomalee	686
LK-61	Kurunegala	2733
LK-62	Puttalam	2119
LK-71	Anuradhapura	985
LK-72	Polonnaruwa	760
LK-81	Badulla	1524
LK-82	Monaragala	1206
LK-91	Ratnapura	5124
LK-92	Kegalle	2846
