District/ Unit	No of Cases	%
Monaragala	960	1.26%
NIHS	906	1.19%
Kalmunai	879	1.16%
Jaffna	812	1.07%
Matale	799	1.05%
Anuradhapura	728	0.96%
Polonnaruwa	615	0.81%
Trincomalee	613	0.81%
Ampara	541	0.71%
Nuwaraeliya	521	0.69%
Mannar	85	0.11%
Kilinochchi	73	0.10%
Mullaitivu	47	0.06%
Vavuniya	128	0.17%
