District/ Unit	No of Cases	%
Gampaha	15910	20.92%
Colombo	15110	19.87%
Matara	5330	7.01%
Kandy	5111	6.72%
Kalutara	5010	6.59%
Ratnapura	4295	5.65%
Galle	4260	5.60%
CMC	3073	4.04%
Hambantota	2117	2.78%
Kurunegala	2092	2.75%
Kegalle	2066	2.72%
Puttalam	1573	2.07%
Batticaloa	1324	1.74%
Badulla	1066	1.40%
