Province	No of Cases	%
Western	40009	52.61%
Southern	11707	15.40%
Central	6431	8.46%
Sabaragamuwa	6361	8.36%
North Western	3665	4.82%
Eastern	3357	4.41%
Uva	2026	2.66%
North Central	1343	1.77%
Northern	1145	1.51%
