District/ Unit	No of Cases	%
Gampaha	15596	20.94%
Colombo	14857	19.95%
Matara	5223	7.01%
Kandy	4931	6.62%
Kalutara	4925	6.61%
Ratnapura	4242	5.70%
Galle	4189	5.62%
CMC	3016	4.05%
Hambantota	2094	2.81%
Kurunegala	2023	2.72%
Kegalle	2020	2.71%
Puttalam	1500	2.01%
Batticaloa	1311	1.76%
Badulla	1035	1.39%
