Province	No of Cases	%
Western	39281	52.74%
Southern	11506	15.45%
Sabaragamuwa	6262	8.41%
Central	6201	8.33%
North Western	3523	4.73%
Eastern	3307	4.44%
Uva	1975	2.65%
North Central	1302	1.75%
Northern	1121	1.51%
