District/ Unit	No of Cases	%
Monaragala	940	1.26%
NIHS	887	1.19%
Kalmunai	868	1.17%
Jaffna	796	1.07%
Matale	777	1.04%
Anuradhapura	699	0.94%
Trincomalee	604	0.81%
Polonnaruwa	603	0.81%
Ampara	524	0.70%
Nuwaraeliya	493	0.66%
Vavuniya	126	0.17%
Mannar	81	0.11%
Kilinochchi	73	0.10%
Mullaitivu	45	0.06%
