Province	No of Cases	%
Western	49901	52.92%
Southern	13779	14.61%
Central	8551	9.07%
Sabaragamuwa	7739	8.21%
North Western	4700	4.98%
Eastern	3916	4.15%
Uva	2656	2.82%
North Central	1683	1.78%
Northern	1367	1.45%
