District/ Unit	No of Cases	%
NIHS	1226	1.30%
Monaragala	1176	1.25%
Kalmunai	1076	1.14%
Matale	980	1.04%
Jaffna	943	1.00%
Anuradhapura	939	1.00%
Polonnaruwa	744	0.79%
Nuwaraeliya	725	0.77%
Trincomalee	676	0.72%
Ampara	654	0.69%
Vavuniya	164	0.17%
Mannar	94	0.10%
Kilinochchi	91	0.10%
Mullaitivu	75	0.08%
