District/ Unit	No of Cases	%
Gampaha	20081	21.30%
Colombo	18709	19.84%
Kandy	6846	7.26%
Matara	6099	6.47%
Kalutara	6093	6.46%
Galle	5170	5.48%
CMC	3792	4.02%
Kegalle	2724	2.89%
Ratnapura	2724	2.89%
Kurunegala	2655	2.82%
Hambantota	2510	2.66%
Puttalam	2045	2.17%
Batticaloa	1510	1.60%
Badulla	1480	1.57%
