Province	No of Cases	%
Western	48244	52.98%
Southern	13450	14.77%
Central	8116	8.91%
Sabaragamuwa	7478	8.21%
North Western	4543	4.99%
Eastern	3763	4.13%
Uva	2543	2.79%
North Central	1594	1.75%
Northern	1328	1.46%
