District/ Unit	No of Cases	%
Gampaha	19406	21.31%
Colombo	18101	19.88%
Kandy	6491	7.13%
Matara	6014	6.60%
Kalutara	5908	6.49%
Galle	4996	5.49%
Ratnapura	4906	5.39%
CMC	3645	4.00%
Kegalle	2572	2.82%
Kurunegala	2567	2.82%
Hambantota	2440	2.68%
Puttalam	1976	2.17%
Batticaloa	1461	1.60%
Badulla	1405	1.54%
