District/ Unit	No of Cases	%
NIHS	1184	1.30%
Monaragala	1138	1.25%
Kalmunai	1017	1.12%
Matale	936	1.03%
Jaffna	921	1.01%
Anuradhapura	879	0.97%
Polonnaruwa	715	0.79%
Nuwaraeliya	689	0.76%
Trincomalee	664	0.73%
Ampara	621	0.68%
Vavuniya	158	0.17%
Mannar	92	0.10%
Kilinochchi	85	0.09%
Mullaitivu	72	0.08%
