District/Unit	No of Cases	%
NIHS	1305	1.32%
Monaragala	1227	1.24%
Kalmunai	1195	1.21%
Matale	1029	1.04%
Anuradhapura	1020	1.03%
Jaffna	1015	1.03%
Nuwaraeliya	790	0.80%
Polonnaruwa	776	0.79%
Trincomalee	693	0.70%
Ampara	702	0.71%
Vavuniya	166	0.17%
Mannar	95	0.10%
Kilinochchi	95	0.10%
Mullaitivu	79	0.08%
