Province	No of Cases	%		
Western	51893	52.62%		
Southern	14209	14.41%		
Central	9229	9.36%		
Sabaragamuwa	8144	8.26%		
North Western	4935	5.00%		
Eastern	4165	4.22%		
Uva	2795	2.83%		
North Central	1796	1.82%		
Northern	1450	1.47%		
				
High - risk MOH Areas [Week 37, 2026]			34	
