District/ Unit	No of Cases	%
Gampaha	20917	21.21%
Colombo	19435	19.71%
Kandy	7410	7.51%
Kalutara	6294	6.38%
Matara	6231	6.32%
Galle	5374	5.45%
Ratnapura	5187	5.26%
CMC	3942	4.00%
Kegalle	2957	3.00%
Kurunegala	2778	2.82%
Hambantota	2604	2.64%
Puttalam	2157	2.19%
Batticaloa	1575	1.60%
Badulla	1568	1.59%
