district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	115	117	742	623	8974	21987
LK-12	Gampaha	88	100	759	606	5318	19671
LK-13	Kalutara	36	32	257	167	1528	7168
LK-21	Kandy	106	85	332	273	3045	6636
LK-22	Matale	24	12	43	30	755	958
LK-23	Nuwara Eliya	4	8	33	31	193	707
LK-31	Galle	32	40	160	121	1617	5066
LK-32	Matara	22	29	108	92	1188	6039
LK-33	Hambantota	18	16	71	51	667	2466
LK-41	Jaffna	14	10	43	9	797	927
LK-42	Mannar	3	1	1	1	116	92
LK-43	Vavuniya	2	0	6	9	34	161
LK-44	Mullaitivu	0	1	14	3	18	71
LK-45	Kilinochchi	0	2	2	8	55	91
LK-51	Batticaloa	8	6	37	33	1587	1483
LK-52	Ampara	3	2	13	19	118	631
LK-52-Kalmunai	Kalmunai	1	10	35	59	343	1043
LK-53	Trincomalee	2	3	13	15	838	668
LK-61	Kurunegala	33	22	87	68	1105	2602
LK-62	Puttalam	12	8	94	65	507	1999
LK-71	Anuradhapura	5	4	36	37	376	895
LK-72	Polonnaruwa	5	18	13	19	263	729
LK-81	Badulla	10	13	57	69	538	1430
LK-82	Monaragala	10	18	28	25	639	1149
LK-91	Ratnapura	76	49	152	86	3946	4946
LK-92	Kegalle	28	16	118	109	1030	2636
