hospital_name	n_cases_last_week	n_cases_this_week
	0	3233
	0	3233
	0	3233
BH - Balangoda	12	4
BH - Balapitiya	13	8
BH - Dambadeniya	12	15
BH - Gampola	17	8
BH - Kahawatta	11	7
BH - Kamburupitiya	14	12
BH - Karawanella	13	13
BH - Mahiyanganaya	8	6
BH - Marawila	20	15
BH - Mawanella	11	8
BH - Minuwangoda	9	6
BH - Mirigama	5	9
BH - Panadura	34	19
BH - Rikillagaskada	6	6
BH - Tangalle	16	14
BH - Warakapola	9	8
BH - Wathupitiwala	17	19
BH – Kalmunai North	10	10
DGH - Ampara	5	4
DGH - Avissawella	25	23
DGH - Chilaw	7	5
DGH - Embilipitiya	10	7
DGH - Gampaha	34	31
DGH - Hambantota	5	6
DGH - Horana	18	7
DGH - Kegalle	14	11
DGH - Matale	15	10
DGH - Matara	41	27
DGH - Monaragala	4	4
DGH - Nawalapitiya	17	17
DGH - Negambo	72	42
DGH - Polonnaruwa	5	7
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	31	19
NH - Kandy	46	44
NH – Galle	50	32
NHSL	50	38
NIID	88	60
PGH - Badulla	16	9
TH - Anuradhapura	13	13
TH - Batticaloa	5	6
TH - Colombo South	76	44
TH - Kalutara	29	19
TH - Kuliyapitiya	11	6
TH - Kurunegala	22	14
TH - Peradeniya	39	24
TH - Ratnapura	41	21
TH – Colombo North	60	43
