District/ Unit	No of Cases	%
Gampaha	20305	21.30%
Colombo	18890	19.82%
Kandy	6961	7.30%
Kalutara	6138	6.44%
Matara	6130	6.43%
Galle	5213	5.47%
Ratnapura	5060	5.31%
CMC	3837	4.02%
Kegalle	2778	2.91%
Kurunegala	2691	2.82%
Hambantota	2532	2.66%
Puttalam	2072	2.17%
Batticaloa	1523	1.60%
Badulla	1493	1.57%
