District/ Unit	No of Cases	%
NIHS	1252	1.31%
Monaragala	1191	1.25%
Kalmunai	1103	1.16%
Matale	989	1.04%
Jaffna	959	1.01%
Anuradhapura	952	1.00%
Polonnaruwa	748	0.78%
Nuwaraeliya	741	0.78%
Trincomalee	679	0.71%
Ampara	667	0.70%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	91	0.10%
Mullaitivu	75	0.08%
