Province	No of Cases	%
Western	50422	52.89%
Southern	13875	14.55%
Central	8691	9.12%
Sabaragamuwa	7838	8.22%
North Western	4763	5.00%
Eastern	3972	4.17%
Uva	2684	2.82%
North Central	1700	1.78%
Northern	1385	1.45%
