Province	No of Cases	%
Western	51279	52.74%
Southern	14061	14.46%
Central	8991	9.25%
Sabaragamuwa	8011	8.24%
North Western	4881	5.02%
Eastern	4088	4.20%
Uva	2748	2.83%
North Central	1755	1.80%
Northern	1421	1.46%
