District/Unit	No of Cases	%
NIHS	1287	1.32%
Monaragala	1211	1.25%
Kalmunai	1160	1.19%
Matale	1002	1.03%
Anuradhapura	989	1.02%
Jaffna	993	1.02%
Nuwaraeliya	763	0.78%
Polonnaruwa	766	0.79%
Trincomalee	689	0.71%
Ampara	686	0.71%
Vavuniya	166	0.17%
Mannar	95	0.10%
Kilinochchi	92	0.09%
Mullaitivu	75	0.08%
