District/ Unit	No of Cases	%
Gampaha	20671	21.26%
Colombo	19194	19.74%
Kandy	7226	7.43%
Kalutara	6230	6.41%
Matara	6192	6.37%
Galle	5305	5.46%
Ratnapura	5132	5.28%
CMC	3897	4.01%
Kegalle	2879	2.96%
Kurunegala	2750	2.83%
Hambantota	2564	2.64%
Puttalam	2131	2.19%
Batticaloa	1553	1.60%
Badulla	1537	1.58%
