district_id	district_name	n_cases
LK-11	Colombo	16213
LK-11-CMC	CMC	3315
LK-12	Gampaha	17280
LK-13	Kalutara	5335
LK-13-NIHS	NIHS	989
LK-21	Kandy	5581
LK-22	Matale	830
LK-23	Nuwaraeliya	595
LK-31	Galle	4499
LK-32	Matara	5608
LK-33	Hambantota	2222
LK-41	Jaffna	833
LK-42	Mannar	86
LK-43	Vavuniya	136
LK-44	Mullaitivu	49
LK-45	Kilinochchi	78
LK-51	Batticaloa	1361
LK-52	Ampara	570
LK-52-Kalmunai	Kalmunai	917
LK-53	Trincomalee	621
LK-61	Kurunegala	2265
LK-62	Puttalam	1718
LK-71	Anuradhapura	760
LK-72	Polonnaruwa	652
LK-81	Badulla	1196
LK-82	Monaragala	1020
LK-91	Ratnapura	4551
LK-92	Kegalle	2231
