Deaths reported in 2026 [Age & Sex]					
Age Group (Yrs)	Male	Female	Age Group (Yrs)	Male	Female
0-14	2	3	45 - 54	1	3
15-24	0	1	55 - 64	1	1
25-34	1	1	> 64	1	9
35-44	0	4	Total	6	22
